step,true_value,prediction,lower_bound,upper_bound,width,covered
126,27.59,28.24067083139444,23.186360268595003,34.351198823419736,11.164838554824733,True
127,27.32,27.178002379594275,22.394508264176178,32.939581423913324,10.545073159737147,True
128,26.91,27.270648034705395,22.5350942078171,32.95905422110997,10.423960013292874,True
129,25.95,26.105986414925244,21.095087885298692,32.25329608736152,11.158208202062827,True
130,24.35,25.509819957273137,20.644414168756022,31.46891085560057,10.824496686844547,True
131,24.14,22.76273325151759,18.481597936435406,27.984659955778678,9.503062019343272,True
132,24.14,24.781598040023976,19.965986011187287,30.70329299765317,10.737306986465882,True
133,22.5,23.686574225583076,18.830979458296873,29.731056339239515,10.900076880942642,True
134,21.27,20.81557895636703,15.701072236791735,27.49634313616428,11.795270899372547,True
135,21.46,20.783746321234428,14.738924178811276,29.150193138787635,14.41126895997636,True
136,29.27,22.05078140632985,15.098065981892265,32.00635766060795,16.90829167871568,True
137,41.31,42.293841952803554,26.817076827223843,66.38151397705272,39.564437149828876,True
138,33.3,45.86291466200255,24.47036845705068,85.2230467659451,60.75267830889442,True
139,30.55,24.115428992158524,12.308596613506273,46.396791095163486,34.08819448165721,True
140,27.84,35.729190506266605,17.426002896882597,72.2135690412738,54.78756614439121,True
141,27.66,24.44461775680874,12.510086258748963,46.92186817984527,34.411781921096306,True
142,24.6,28.45760012890418,15.647898020516202,51.123709809192434,35.47581178867623,True
143,21.51,23.16738537710739,13.302115365359032,39.83749159094845,26.53537622558942,True
144,20.83,20.64746265624765,12.44474934745359,33.85469511875958,21.409945771305992,True
145,21.79,20.834825885601603,13.132236501951128,32.735610169608705,19.60337366765758,True
146,23.07,22.264313386830477,14.590827399950308,33.7145320435261,19.123704643575792,True
147,21.13,23.492527355163546,15.921194453709912,34.45162830463852,18.530433850928606,True
148,18.87,20.161709681119532,14.002495025567764,28.84956541327303,14.847070387705266,True
149,17.94,18.322632549699154,13.034630213532337,25.603061353956566,12.568431140424229,True
150,17.59,17.77679106345171,12.901436243930208,24.361975299096297,11.46053905516609,True
151,15.58,17.51522587756561,12.934655877392325,23.601510960414753,10.666855083022428,True
152,14.05,14.832868834073802,11.065419067886308,19.776711866080344,8.711292798194036,True
153,12.6,13.78064795892817,10.390998703346655,18.178964002654315,7.787965299307659,True
154,10.41,12.139776019743065,9.153601524625472,16.004184518200642,6.85058299357517,True
155,8.53,9.701973150798302,7.207021065930556,12.95539604447469,5.748374978544133,True
156,7.95,7.9654773995661134,5.793136944870689,10.832498837348387,5.039361892477698,True
157,7.79,7.897081399628384,5.66658262445585,10.873858300537378,5.207275676081529,True
158,7.43,7.7315243856216185,5.502052419288268,10.725454238194278,5.22340181890601,True
