step,true_value,prediction,lower_bound,upper_bound,width,covered,k_adap,t_adap,n_cal
104,958.35,932.7504947950127,814.1025656939198,1068.6690493026074,254.56648360868758,True,0.285,0.392,49
105,874.99,917.6330652385436,796.3563965256706,1057.355726782451,260.99933025678047,True,0.288,0.396,49
106,783.84,805.2179405421339,698.1731228302503,928.651536118627,230.4784132883766,True,0.291,0.4,48
107,786.65,736.122759776459,635.8815708314704,852.1412869603083,216.2597161288379,True,0.294,0.404,48
108,706.5,785.032001403575,679.3633327294777,907.1122945762486,227.74896184677084,True,0.297,0.40800000000000003,48
109,707.74,648.1118716313007,561.86353561085,747.5761560933636,185.71262048251356,True,0.3,0.41200000000000003,47
110,719.01,714.8891678153987,619.8866495962909,824.4281211049663,204.5414715086754,True,0.303,0.41600000000000004,47
111,738.74,700.7885333753567,607.4993460523713,808.3799093988604,200.8805633464891,True,0.306,0.42000000000000004,47
112,897.49,736.2030617902592,638.7611900973662,848.4862813266641,209.72509122929785,False,0.299,0.41200000000000003,46
113,1108.78,962.0306481306793,833.4062892069304,1110.4825490115604,277.07625980463,True,0.302,0.41600000000000004,47
114,1218.27,1154.8805933746091,1002.5382766325355,1330.349264148957,327.8109875164215,True,0.305,0.42000000000000004,47
115,1335.31,1209.7359684088372,1047.332537132045,1397.2982815826183,349.9657444505733,True,0.308,0.42400000000000004,46
116,1445.43,1362.5500450254456,1180.5663008531803,1572.5627564414808,391.9964555883005,True,0.311,0.42800000000000005,46
117,1482.24,1438.247907406416,1248.617588182128,1656.6547565940969,408.0371684119689,True,0.314,0.43200000000000005,46
118,1412.24,1452.6617139589086,1261.420277807058,1672.8739196273532,411.45364182029516,True,0.317,0.43600000000000005,45
119,1368.79,1338.564155513583,1164.597174463776,1538.4959476993702,373.89877323559426,True,0.32,0.44000000000000006,45
120,1345.14,1340.8380450774052,1169.0184870982168,1537.8896492419337,368.8711621437169,True,0.323,0.44400000000000006,45
121,1241.46,1319.0544093155193,1152.5739753223156,1509.5608143304958,356.98683900818014,True,0.326,0.44800000000000006,44
122,1112.47,1184.88725572045,1035.4798486893965,1355.8315728071782,320.3517241177817,True,0.329,0.45200000000000007,44
123,1047.16,1055.829770146764,922.4426846785545,1208.4840119473636,286.041327268809,True,0.332,0.45600000000000007,44
124,1014.3,1026.8040073831692,888.6091542888665,1186.466509871235,297.85735558236854,True,0.335,0.4600000000000001,44
125,986.63,988.5986856853109,853.9443871678709,1144.461124031925,290.5167368640541,True,0.338,0.4640000000000001,43
126,1038.49,971.2610257783418,832.5022571727226,1133.1199068302767,300.6176496575541,True,0.341,0.4680000000000001,43
127,1108.81,1076.3170568141368,916.233493872876,1264.339794780247,348.10630090737106,True,0.34400000000000003,0.4720000000000001,43
128,1130.22,1117.2335937042128,944.7735801642862,1321.141362704834,376.36778254054775,True,0.34700000000000003,0.4760000000000001,42
129,1189.69,1123.8613202921622,945.0188898888214,1336.5134507495181,391.49456086069677,True,0.35000000000000003,0.4800000000000001,42
130,1228.86,1221.8706460586775,1024.975831359564,1456.5515049027351,431.5756735431712,True,0.35300000000000004,0.4840000000000001,42
131,1257.03,1214.9118427800938,1014.9966858687383,1454.163811040119,439.1671251713808,True,0.35600000000000004,0.4880000000000001,41
132,1347.58,1267.836188808712,1063.4104746508783,1511.5229527252366,448.11247807435825,True,0.35900000000000004,0.4920000000000001,41
133,1379.65,1385.7402125595954,1158.5718649752514,1657.4124496422437,498.8405846669923,True,0.36200000000000004,0.4960000000000001,41
134,1626.45,1353.526144298712,1132.6705187271614,1617.4076813152974,484.737162588136,False,0.35500000000000004,0.4880000000000001,40
135,1829.53,1820.2604606151672,1520.1705784105434,2179.5507629959957,659.3801845854523,True,0.35800000000000004,0.4920000000000001,41
136,1959.38,1798.2663028997817,1507.4225041125833,2145.1886307876407,637.7661266750574,True,0.36100000000000004,0.4960000000000001,41
