station,target,method,RMSE,MAE,PBIAS,NSE,KGE,Coverage,CalibrationError,AvgWidth,IntervalScore
Paradise,70%,split_conformal,7.391427961106318,1.5210513507018149,-1.6936444988283905,0.05873745264116048,0.5562552498714382,0.8160753077480087,0.11607530774800878,3.212645506956874,7.687633248255207
Paradise,80%,DACP,7.19793780173821,1.5083019422035,-2.1386558929844957,0.10737250371276807,0.5777652424287681,0.8088341781317886,0.00883417813178855,2.820786627539302,10.256527609995903
Paradise,80%,single_aci,7.391427961106318,1.5210513507018149,-1.6936444988283905,0.05873745264116048,0.5562552498714382,0.8095582910934106,0.009558291093410554,2.91806724593261,10.249594290479072
Paradise,80%,split_conformal,7.391427961106318,1.5210513507018149,-1.6936444988283905,0.05873745264116048,0.5562552498714382,0.8631426502534395,0.06314265025343946,4.060050000192894,9.949631855130567
Paradise,90%,DACP,7.061155009459906,1.4571934680760878,-2.3977893023987673,0.14097545655712307,0.590840293804775,0.8979000724112962,0.0020999275887038094,6.6509260191252455,14.957908488914843
Paradise,90%,single_aci,7.391427961106318,1.5210513507018149,-1.6936444988283905,0.05873745264116048,0.5562552498714382,0.8993482983345402,0.0006517016654598029,6.210848665751656,15.339775305615776
Paradise,90%,split_conformal,7.391427961106318,1.5210513507018149,-1.6936444988283905,0.05873745264116048,0.5562552498714382,0.9073135409123824,0.007313540912382344,6.4416737734781915,14.813394006334077
Paradise,95%,DACP,7.060382166759269,1.4543405138344923,-2.4984815527910733,0.14116348656518407,0.5908480697870657,0.941346850108617,0.008653149891382994,12.907059705324869,22.740624882438887
Paradise,95%,single_aci,7.391427961106318,1.5210513507018149,-1.6936444988283905,0.05873745264116048,0.5562552498714382,0.940622737146995,0.009377262853004997,14.17026313983856,23.616041804934735
Paradise,95%,split_conformal,7.391427961106318,1.5210513507018149,-1.6936444988283905,0.05873745264116048,0.5562552498714382,0.9326574945691528,0.017342505430847144,9.702250860527329,21.306471249098188
Easy Pass,70%,DACP,20.339884494388432,6.326608778563852,-4.011000427287133,0.24348989230753537,0.614570096083809,0.719044170890659,0.019044170890659018,12.582972975329008,32.4295831848867
Easy Pass,70%,single_aci,19.82134365777333,6.268405606297576,-4.494597173915288,0.2815708375311352,0.6203064204823733,0.719768283852281,0.01976828385228102,12.014619731676463,32.378454665952674
Easy Pass,70%,split_conformal,19.82134365777333,6.268405606297576,-4.494597173915288,0.2815708375311352,0.6203064204823733,0.7885590152063722,0.08855901520637222,15.482508568848555,32.81365413679793
Easy Pass,80%,DACP,20.323362500787375,6.275908411171852,-4.222462987060553,0.24471841243012338,0.6154599645385516,0.8095582910934106,0.009558291093410554,16.810551860698254,41.389331483152645
